Daily Dates,Daily Closing Prices,Weekly Dates,Weekly Closing Prices,Monthly Dates,Monthly Closing Prices,Annually Dates,Annually Closing Prices
19/09/2012,3175,,,,,,
13/09/2012,3090,,,,,,
12/09/2012,3153,,,,,,
11/09/2012,3022,,,,,,
10/09/2012,2972,,,,,,
09/09/2012,2996,,,,,,
06/09/2012,2880,,,,,,
05/09/2012,2829,,,,,,
04/09/2012,2850,,,,,,
03/09/2012,2875,,,,,,
02/09/2012,2864,,,,,,
30/08/2012,2815,,,,,,
29/08/2012,2786,,,,,,
28/08/2012,2821,,,,,,
27/08/2012,2784,,,,,,
26/08/2012,2716,,,,,,
23/08/2012,2670,,,,,,
22/08/2012,2800,,,,,,
21/08/2012,2865,,,,,,
20/08/2012,2907,,,,,,
19/08/2012,2865,,,,,,
16/08/2012,3000,,,,,,
15/08/2012,2706,,,,,,
14/08/2012,2547,,,,,,
13/08/2012,2495,,,,,,
12/08/2012,2522,,,,,,
09/08/2012,2492,,,,,,
08/08/2012,2458,,,,,,
07/08/2012,2437,,,,,,
06/08/2012,2424,,,,,,
05/08/2012,2394,,,,,,
02/08/2012,2438,,,,,,
01/08/2012,2360,,,,,,
31/07/2012,2236,,,,,,
30/07/2012,2172,,,,,,
26/07/2012,2159,,,,,,
25/07/2012,2095,,,,,,
24/07/2012,2099,,,,,,
23/07/2012,2016,,,,,,
22/07/2012,2130,,,,,,
19/07/2012,2264,,,,,,
18/07/2012,2345,,,,,,
17/07/2012,2385,,,,,,
16/07/2012,2397,,,,,,
15/07/2012,2426,,,,,,
12/07/2012,2537,,,,,,
11/07/2012,2550,,,,,,
10/07/2012,2631,,,,,,
09/07/2012,2728,,,,,,
08/07/2012,2655,,,,,,
05/07/2012,2449,,,,,,
04/07/2012,2407,,,,,,
03/07/2012,2361,,,,,,
02/07/2012,2340,,,,,,
01/07/2012,2424,,,,,,
28/06/2012,2370,,,,,,
27/06/2012,2353,,,,,,
26/06/2012,2460,,,,,,
25/06/2012,2505,,,,,,
24/06/2012,2550,,,,,,
21/06/2012,2689,,,,,,
20/06/2012,2661,,,,,,
19/06/2012,2680,,,,,,
18/06/2012,2769,,,,,,
17/06/2012,2820,,,,,,
14/06/2012,2690,,,,,,
13/06/2012,2651,,,,,,
12/06/2012,2660,,,,,,
11/06/2012,2659,,,,,,
10/06/2012,2751,,,,,,
07/06/2012,2775,,,,,,
06/06/2012,2764,,,,,,
05/06/2012,2846,,,,,,
04/06/2012,2790,,,,,,
03/06/2012,2640,,,,,,
31/05/2012,2750,,,,,,
30/05/2012,2851,,,,,,
29/05/2012,2960,,,,,,
28/05/2012,2930,,,,,,
24/05/2012,2880,,,,,,
23/05/2012,2935,,,,,,
22/05/2012,3039,,,,,,
21/05/2012,3080,,,,,,
20/05/2012,3060,,,,,,
17/05/2012,3250,,,,,,
16/05/2012,3411,,,,,,
15/05/2012,3750,,,,,,
14/05/2012,4150,,,,,,
13/05/2012,4307,,,,,,
10/05/2012,4426,,,,,,
09/05/2012,4422,,,,,,
08/05/2012,4500,,,,,,
07/05/2012,4529,,,,,,
06/05/2012,4477,,,,,,
03/05/2012,4511,,,,,,
02/05/2012,4603,,,,,,
01/05/2012,4779,,,,,,
30/04/2012,4735,,,,,,
29/04/2012,4688,,,,,,
24/04/2012,4568,,,,,,
23/04/2012,4500,,,,,,
22/04/2012,4465,,,,,,
19/04/2012,4510,,,,,,
18/04/2012,4596,,,,,,
17/04/2012,4346,,,,,,
16/04/2012,4300,,,,,,
15/04/2012,4219,,,,,,
11/04/2012,4306,,,,,,
10/04/2012,4403,,,,,,
09/04/2012,4457,,,,,,
08/04/2012,4468,,,,,,
05/04/2012,4602,,,,,,
04/04/2012,4579,,,,,,
03/04/2012,4625,,,,,,
02/04/2012,4581,,,,,,
01/04/2012,4530,,,,,,
29/03/2012,4698,,,,,,
28/03/2012,4855,,,,,,
27/03/2012,4859,,,,,,
26/03/2012,4900,,,,,,
25/03/2012,4800,,,,,,
22/03/2012,4855,,,,,,
21/03/2012,4791,,,,,,
20/03/2012,4752,,,,,,
19/03/2012,4744,,,,,,
18/03/2012,4815,,,,,,
15/03/2012,4735,,,,,,
14/03/2012,4915,,,,,,
13/03/2012,4655,,,,,,
12/03/2012,4708,,,,,,
11/03/2012,4727,,,,,,
07/03/2012,4804,,,,,,
06/03/2012,4880,,,,,,
05/03/2012,4960,,,,,,
04/03/2012,4932,,,,,,
01/03/2012,5048,,,,,,
29/02/2012,5128,,,,,,
28/02/2012,5140,,,,,,
27/02/2012,5229,,,,,,
26/02/2012,5181,,,,,,
23/02/2012,5270,,,,,,
22/02/2012,5277,,,,,,
21/02/2012,5440,,,,,,
20/02/2012,5375,,,,,,
19/02/2012,5455,,,,,,
16/02/2012,5375,,,,,,
15/02/2012,5527,,,,,,
14/02/2012,5626,,,,,,
13/02/2012,5705,,,,,,
12/02/2012,5701,,,,,,
07/02/2012,5619,,,,,,
06/02/2012,5580,,,,,,
05/02/2012,5580,,,,,,
02/02/2012,5500,,,,,,
01/02/2012,5560,,,,,,
31/01/2012,5441,,,,,,
30/01/2012,5380,,,,,,
29/01/2012,5390,,,,,,
26/01/2012,5650,,,,,,
25/01/2012,5535,,,,,,
24/01/2012,5826,,,,,,
23/01/2012,5905,,,,,,
22/01/2012,5900,,,,,,
19/01/2012,5970,,,,,,
18/01/2012,6129,,,,,,
17/01/2012,6110,,,,,,
16/01/2012,6090,,,,,,
15/01/2012,5904,,,,,,
12/01/2012,6100,,,,,,
11/01/2012,6090,,,,,,
10/01/2012,6086,,,,,,
09/01/2012,5990,,,,,,
08/01/2012,6060,,,,,,
05/01/2012,6360,,,,,,
04/01/2012,6410,,,,,,
03/01/2012,6499,,,,,,
02/01/2012,6393,,,,,,
01/01/2012,6400,,,,,,
29/12/2011,6373,,,,,,
